jobnr,mode,barT,maxT,u_abs,cost,Rreq
1,1,0,0,0,0,0
2,1,5,6,1,4,9
2,2,5,6,1,4,7
2,3,9,11,2,0,8
3,1,1,2,1,7,2
3,2,3,4,1,5,5
3,3,8,9,1,0,1
4,1,3,4,1,7,4
4,2,7,8,1,3,7
4,3,10,13,3,0,3
5,1,1,3,2,5,4
5,2,5,6,1,1,4
5,3,6,7,1,0,4
6,1,5,6,1,4,9
6,2,7,8,1,2,4
6,3,9,10,1,0,2
7,1,1,2,1,5,6
7,2,4,5,1,2,5
7,3,6,8,2,0,3
8,1,1,2,1,8,8
8,2,3,4,1,6,7
8,3,9,12,3,0,3
9,1,2,3,1,3,7
9,2,3,4,1,2,7
9,3,5,6,1,0,6
10,1,5,6,1,5,9
10,2,9,11,2,1,8
10,3,10,12,2,0,6
11,1,3,4,1,7,7
11,2,7,8,1,3,4
11,3,10,12,2,0,4
12,1,0,0,0,0,0
